Codigo;Precio
PAV.0301.C.NG;166,948
PAV.0301.C.RB;153,858
PAV.0301.ESP;129,926
PAV.0301.L.BM03;118,115
PAV.0301.L.C;118,115
PAV.0301.L.NMT;118,115
PAV.0302.C.NG;157,479
PAV.0302.C.RB;145,131
PAV.0302.ESP;121,251
PAV.0302.L.BM03;110,228
PAV.0302.L.C;110,228
PAV.0302.L.NMT;110,228
PAV.0401.C.NG;188,425
PAV.0401.C.RB;174,763
PAV.0401.ESP;137,731
PAV.0401.L.BM03;131,471
PAV.0401.L.C;131,471
PAV.0401.L.NMT;131,471
PAV.MA01.C.NG;19,656
PAV.MA01.C.RB;18,837
PAV.MA01.ESP;18,018
PAV.MA01.L.BM03;16,38
PAV.MA01.L.C;16,38
PAV.MA01.L.NMT;16,38
PAV.MB01.C.NG;39,312
PAV.MB01.C.RB;37,674
PAV.MB01.ESP;36,036
PAV.MB01.L.BM03;32,76
PAV.MB01.L.C;32,76
PAV.MB01.L.NMT;32,76
PAV.MC01.C.NG;58,968
PAV.MC01.C.RB;56,511
PAV.MC01.ESP;51,48
PAV.MC01.L.BM03;49,14
PAV.MC01.L.C;49,14
PAV.MC01.L.NMT;49,14
PAV.MD01.C.NG;94,349
PAV.MD01.C.RB;90,418
PAV.MD01.ESP;82,368
PAV.MD01.L.BM03;78,624
PAV.MD01.L.C;78,624
PAV.MD01.L.NMT;78,624
