TXT_TIPO;TIPO;ALTOTABLA;TXT_COLOR;COLOR;ANCHOTABLA;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO
CORREDERA;1;2700;NEGRO MATE TEXT;L.NMT;600;473,933;612,73;512,926;512,926;612,73
CORREDERA;1;2700;NEGRO MATE TEXT;L.NMT;700;490,433;652,361;535,924;535,924;652,361
CORREDERA;1;2700;NEGRO MATE TEXT;L.NMT;800;506,933;691,993;558,922;558,922;691,993
CORREDERA;1;2700;NEGRO MATE TEXT;L.NMT;900;536,401;744,595;594,89;594,89;744,595
CORREDERA;1;2700;NEGRO MATE TEXT;L.NMT;1000;552,901;784,227;617,888;617,888;784,227
CORREDERA;1;2700;NEGRO MATE TEXT;L.NMT;1100;581,094;835,554;652,581;652,581;835,554
CORREDERA;1;2700;NEGRO MATE TEXT;L.NMT;1200;597,594;875,186;675,579;675,579;875,186
CORREDERA;1;2700;NEGRO MATE TEXT;L.NMT;1300;636,522;937,247;721,006;721,006;937,247
CORREDERA;1;2700;NEGRO MATE TEXT;L.NMT;1400;653,021;976,879;744,004;744,004;976,879
CORREDERA;1;2700;NEGRO MATE TEXT;L.NMT;1500;666,171;1013,162;763,653;763,653;1013,162
CORREDERA;1;2500;NEGRO MATE TEXT;L.NMT;600;446,751;563,458;478,965;478,965;563,458
CORREDERA;1;2500;NEGRO MATE TEXT;L.NMT;700;461,283;597,442;498,867;498,867;597,442
CORREDERA;1;2500;NEGRO MATE TEXT;L.NMT;800;475,816;631,426;518,768;518,768;631,426
CORREDERA;1;2500;NEGRO MATE TEXT;L.NMT;900;503,318;678,379;551,639;551,639;678,379
CORREDERA;1;2500;NEGRO MATE TEXT;L.NMT;1000;517,851;712,363;571,54;571,54;712,363
CORREDERA;1;2500;NEGRO MATE TEXT;L.NMT;1100;565,113;800,724;631,304;631,304;800,724
CORREDERA;1;2500;NEGRO MATE TEXT;L.NMT;1200;580,709;837,738;652,917;652,917;837,738
CORREDERA;1;2500;NEGRO MATE TEXT;L.NMT;1300;618,734;897,182;696,959;696,959;897,182
CORREDERA;1;2500;NEGRO MATE TEXT;L.NMT;1400;634,329;934,197;718,572;718,572;934,197
CORREDERA;1;2500;NEGRO MATE TEXT;L.NMT;1500;646,71;967,997;736,971;736,971;967,997
CORREDERA;1;2700;BLANCO MATE;L.BM03;600;473,933;612,73;512,926;512,926;612,73
CORREDERA;1;2700;BLANCO MATE;L.BM03;700;490,433;652,361;535,924;535,924;652,361
CORREDERA;1;2700;BLANCO MATE;L.BM03;800;506,933;691,993;558,922;558,922;691,993
CORREDERA;1;2700;BLANCO MATE;L.BM03;900;536,401;744,595;594,89;594,89;744,595
CORREDERA;1;2700;BLANCO MATE;L.BM03;1000;552,901;784,227;617,888;617,888;784,227
CORREDERA;1;2700;BLANCO MATE;L.BM03;1100;581,094;835,554;652,581;652,581;835,554
CORREDERA;1;2700;BLANCO MATE;L.BM03;1200;597,594;875,186;675,579;675,579;875,186
CORREDERA;1;2700;BLANCO MATE;L.BM03;1300;636,522;937,247;721,006;721,006;937,247
CORREDERA;1;2700;BLANCO MATE;L.BM03;1400;653,021;976,879;744,004;744,004;976,879
CORREDERA;1;2700;BLANCO MATE;L.BM03;1500;666,171;1013,162;763,653;763,653;1013,162
CORREDERA;1;2500;BLANCO MATE;L.BM03;600;446,751;563,458;478,965;478,965;563,458
CORREDERA;1;2500;BLANCO MATE;L.BM03;700;461,283;597,442;498,867;498,867;597,442
CORREDERA;1;2500;BLANCO MATE;L.BM03;800;475,816;631,426;518,768;518,768;631,426
CORREDERA;1;2500;BLANCO MATE;L.BM03;900;503,318;678,379;551,639;551,639;678,379
CORREDERA;1;2500;BLANCO MATE;L.BM03;1000;517,851;712,363;571,54;571,54;712,363
CORREDERA;1;2500;BLANCO MATE;L.BM03;1100;565,113;800,724;631,304;631,304;800,724
CORREDERA;1;2500;BLANCO MATE;L.BM03;1200;580,709;837,738;652,917;652,917;837,738
CORREDERA;1;2500;BLANCO MATE;L.BM03;1300;618,734;897,182;696,959;696,959;897,182
CORREDERA;1;2500;BLANCO MATE;L.BM03;1400;634,329;934,197;718,572;718,572;934,197
CORREDERA;1;2500;BLANCO MATE;L.BM03;1500;646,71;967,997;736,971;736,971;967,997
CORREDERA;1;2700;CORTEN;L.C;600;473,933;612,73;512,926;512,926;612,73
CORREDERA;1;2700;CORTEN;L.C;700;490,433;652,361;535,924;535,924;652,361
CORREDERA;1;2700;CORTEN;L.C;800;506,933;691,993;558,922;558,922;691,993
CORREDERA;1;2700;CORTEN;L.C;900;536,401;744,595;594,89;594,89;744,595
CORREDERA;1;2700;CORTEN;L.C;1000;552,901;784,227;617,888;617,888;784,227
CORREDERA;1;2700;CORTEN;L.C;1100;581,094;835,554;652,581;652,581;835,554
CORREDERA;1;2700;CORTEN;L.C;1200;597,594;875,186;675,579;675,579;875,186
CORREDERA;1;2700;CORTEN;L.C;1300;636,522;937,247;721,006;721,006;937,247
CORREDERA;1;2700;CORTEN;L.C;1400;653,021;976,879;744,004;744,004;976,879
CORREDERA;1;2700;CORTEN;L.C;1500;666,171;1013,162;763,653;763,653;1013,162
CORREDERA;1;2500;CORTEN;L.C;600;446,751;563,458;478,965;478,965;563,458
CORREDERA;1;2500;CORTEN;L.C;700;461,283;597,442;498,867;498,867;597,442
CORREDERA;1;2500;CORTEN;L.C;800;475,816;631,426;518,768;518,768;631,426
CORREDERA;1;2500;CORTEN;L.C;900;503,318;678,379;551,639;551,639;678,379
CORREDERA;1;2500;CORTEN;L.C;1000;517,851;712,363;571,54;571,54;712,363
CORREDERA;1;2500;CORTEN;L.C;1100;565,113;800,724;631,304;631,304;800,724
CORREDERA;1;2500;CORTEN;L.C;1200;580,709;837,738;652,917;652,917;837,738
CORREDERA;1;2500;CORTEN;L.C;1300;618,734;897,182;696,959;696,959;897,182
CORREDERA;1;2500;CORTEN;L.C;1400;634,329;934,197;718,572;718,572;934,197
CORREDERA;1;2500;CORTEN;L.C;1500;646,71;967,997;736,971;736,971;967,997
CORREDERA;1;2700;ROBLE;C.RB;600;528,301;667,098;567,294;567,294;667,098
CORREDERA;1;2700;ROBLE;C.RB;700;544,904;706,833;590,396;590,396;706,833
CORREDERA;1;2700;ROBLE;C.RB;800;561,507;746,569;613,497;613,497;746,569
CORREDERA;1;2700;ROBLE;C.RB;900;591,08;799,274;649,569;649,569;799,274
CORREDERA;1;2700;ROBLE;C.RB;1000;607,683;839,01;672,671;672,671;839,01
CORREDERA;1;2700;ROBLE;C.RB;1100;635,981;890,44;707,467;707,467;890,44
CORREDERA;1;2700;ROBLE;C.RB;1200;652,583;930,175;730,569;730,569;930,175
CORREDERA;1;2700;ROBLE;C.RB;1300;691,615;992,339;776,099;776,099;992,339
CORREDERA;1;2700;ROBLE;C.RB;1400;708,218;1032,075;799,201;799,201;1032,075
CORREDERA;1;2700;ROBLE;C.RB;1500;721,198;1068,188;818,68;818,68;1068,188
CORREDERA;1;2500;ROBLE;C.RB;600;508,087;624,794;540,301;540,301;624,794
CORREDERA;1;2500;ROBLE;C.RB;700;523,035;659,194;560,619;560,619;659,194
CORREDERA;1;2500;ROBLE;C.RB;800;537,985;693,595;580,937;580,937;693,595
CORREDERA;1;2500;ROBLE;C.RB;900;565,904;740,965;614,225;614,225;740,965
CORREDERA;1;2500;ROBLE;C.RB;1000;580,853;775,365;634,543;634,543;775,365
CORREDERA;1;2500;ROBLE;C.RB;1100;628,532;864,143;694,723;694,723;864,143
CORREDERA;1;2500;ROBLE;C.RB;1200;644,545;901,574;716,753;716,753;901,574
CORREDERA;1;2500;ROBLE;C.RB;1300;682,986;961,435;761,211;761,211;961,435
CORREDERA;1;2500;ROBLE;C.RB;1400;698,999;998,866;783,241;783,241;998,866
CORREDERA;1;2500;ROBLE;C.RB;1500;715,011;1036,298;805,271;805,271;1036,298
CORREDERA;1;2700;NOGAL;C.NG;600;534,025;672,82;573,017;573,017;672,82
CORREDERA;1;2700;NOGAL;C.NG;700;550,831;712,76;596,322;596,322;712,76
CORREDERA;1;2700;NOGAL;C.NG;800;567,638;752,7;619,628;619,628;752,7
CORREDERA;1;2700;NOGAL;C.NG;900;597,415;805,608;655,904;655,904;805,608
CORREDERA;1;2700;NOGAL;C.NG;1000;614,222;845,548;679,209;679,209;845,548
CORREDERA;1;2700;NOGAL;C.NG;1100;642,724;897,183;714,21;714,21;897,183
CORREDERA;1;2700;NOGAL;C.NG;1200;659,53;937,123;737,516;737,516;937,123
CORREDERA;1;2700;NOGAL;C.NG;1300;698,766;999,491;783,25;783,25;999,491
CORREDERA;1;2700;NOGAL;C.NG;1400;715,573;1039,43;806,555;806,555;1039,43
CORREDERA;1;2700;NOGAL;C.NG;1500;728,552;1075,542;826,034;826,034;1075,542
CORREDERA;1;2500;NOGAL;C.NG;600;513,917;630,625;546,131;546,131;630,625
CORREDERA;1;2500;NOGAL;C.NG;700;529,087;665,245;566,669;566,669;665,245
CORREDERA;1;2500;NOGAL;C.NG;800;544,256;699,866;587,208;587,208;699,866
CORREDERA;1;2500;NOGAL;C.NG;900;572,396;747,457;620,717;620,717;747,457
CORREDERA;1;2500;NOGAL;C.NG;1000;587,565;782,078;641,255;641,255;782,078
CORREDERA;1;2500;NOGAL;C.NG;1100;635,465;871,076;701,656;701,656;871,076
CORREDERA;1;2500;NOGAL;C.NG;1200;651,698;908,728;723,907;723,907;908,728
CORREDERA;1;2500;NOGAL;C.NG;1300;690,359;968,808;768,585;768,585;968,808
CORREDERA;1;2500;NOGAL;C.NG;1400;706,592;1006,46;790,836;790,836;1006,46
CORREDERA;1;2500;NOGAL;C.NG;1500;722,825;1044,113;813,086;813,086;1044,113
CORREDERA;1;2700;ESPECIAL;ESP;600;521,327;674,002;564,219;564,219;674,002
CORREDERA;1;2700;ESPECIAL;ESP;700;539,476;717,597;589,516;589,516;717,597
CORREDERA;1;2700;ESPECIAL;ESP;800;557,626;761,192;614,815;614,815;761,192
CORREDERA;1;2700;ESPECIAL;ESP;900;590,041;819,055;654,379;654,379;819,055
CORREDERA;1;2700;ESPECIAL;ESP;1000;608,19;862,65;679,678;679,678;862,65
CORREDERA;1;2700;ESPECIAL;ESP;1100;639,203;919,11;717,84;717,84;919,11
CORREDERA;1;2700;ESPECIAL;ESP;1200;657,354;962,704;743,138;743,138;962,704
CORREDERA;1;2700;ESPECIAL;ESP;1300;700,174;1030,972;793,106;793,106;1030,972
CORREDERA;1;2700;ESPECIAL;ESP;1400;718,324;1074,567;818,405;818,405;1074,567
CORREDERA;1;2700;ESPECIAL;ESP;1500;732,789;1114,478;840,019;840,019;1114,478
CORREDERA;1;2500;ESPECIAL;ESP;600;491,426;619,805;526,862;526,862;619,805
CORREDERA;1;2500;ESPECIAL;ESP;700;507,411;657,186;548,753;548,753;657,186
CORREDERA;1;2500;ESPECIAL;ESP;800;523,398;694,569;570,646;570,646;694,569
CORREDERA;1;2500;ESPECIAL;ESP;900;553,649;746,217;606,802;606,802;746,217
CORREDERA;1;2500;ESPECIAL;ESP;1000;569,636;783,599;628,694;628,694;783,599
CORREDERA;1;2500;ESPECIAL;ESP;1100;621,624;880,796;694,434;694,434;880,796
CORREDERA;1;2500;ESPECIAL;ESP;1200;638,78;921,513;718,209;718,209;921,513
CORREDERA;1;2500;ESPECIAL;ESP;1300;680,607;986,9;766,654;766,654;986,9
CORREDERA;1;2500;ESPECIAL;ESP;1400;697,762;1027,616;790,428;790,428;1027,616
CORREDERA;1;2500;ESPECIAL;ESP;1500;711,38;1064,797;810,668;810,668;1064,797
FIJO;2;2700;NEGRO MATE TEXT;L.NMT;500;351,287;490,094;390,29;390,29;490,094
FIJO;2;2700;NEGRO MATE TEXT;L.NMT;1000;424,772;656,099;489,76;489,76;656,099
FIJO;2;2700;NEGRO MATE TEXT;L.NMT;1500;507,27;854,26;604,752;604,752;854,26
FIJO;2;2500;NEGRO MATE TEXT;L.NMT;500;324,249;440,957;356,463;356,463;440,957
FIJO;2;2500;NEGRO MATE TEXT;L.NMT;1000;389,722;584,235;443,413;443,413;584,235
FIJO;2;2500;NEGRO MATE TEXT;L.NMT;1500;487,674;808,961;577,935;577,935;808,961
FIJO;2;2700;BLANCO MATE;L.BM03;500;351,287;490,094;390,29;390,29;490,094
FIJO;2;2700;BLANCO MATE;L.BM03;1000;424,772;656,099;489,76;489,76;656,099
FIJO;2;2700;BLANCO MATE;L.BM03;1500;507,27;854,26;604,752;604,752;854,26
FIJO;2;2500;BLANCO MATE;L.BM03;500;324,249;440,957;356,463;356,463;440,957
FIJO;2;2500;BLANCO MATE;L.BM03;1000;389,722;584,235;443,413;443,413;584,235
FIJO;2;2500;BLANCO MATE;L.BM03;1500;487,674;808,961;577,935;577,935;808,961
FIJO;2;2700;CORTEN;L.C;500;351,287;490,094;390,29;390,29;490,094
FIJO;2;2700;CORTEN;L.C;1000;424,772;656,099;489,76;489,76;656,099
FIJO;2;2700;CORTEN;L.C;1500;507,27;854,26;604,752;604,752;854,26
FIJO;2;2500;CORTEN;L.C;500;324,249;440,957;356,463;356,463;440,957
FIJO;2;2500;CORTEN;L.C;1000;389,722;584,235;443,413;443,413;584,235
FIJO;2;2500;CORTEN;L.C;1500;487,674;808,961;577,935;577,935;808,961
FIJO;2;2700;ROBLE;C.RB;500;405,316;544,111;444,309;444,309;544,111
FIJO;2;2700;ROBLE;C.RB;1000;479,555;710,882;544,543;544,543;710,882
FIJO;2;2700;ROBLE;C.RB;1500;562,57;909,56;660,052;660,052;909,56
FIJO;2;2500;ROBLE;C.RB;500;377,654;494,361;409,868;409,868;494,361
FIJO;2;2500;ROBLE;C.RB;1000;443,874;638,386;497,564;497,564;638,386
FIJO;2;2500;ROBLE;C.RB;1500;542,343;863,63;632,604;632,604;863,63
FIJO;2;2700;NOGAL;C.NG;500;410,685;549,482;449,678;449,678;549,482
FIJO;2;2700;NOGAL;C.NG;1000;486,094;717,421;551,082;551,082;717,421
FIJO;2;2700;NOGAL;C.NG;1500;570,129;917,119;667,611;667,611;917,119
FIJO;2;2500;NOGAL;C.NG;500;382,702;499,409;414,916;414,916;499,409
FIJO;2;2500;NOGAL;C.NG;1000;450,083;644,595;503,772;503,772;644,595
FIJO;2;2500;NOGAL;C.NG;1500;549,572;870,858;639,832;639,832;870,858
FIJO;2;2700;ESPECIAL;ESP;500;386,416;539,104;429,32;429,32;539,104
FIJO;2;2700;ESPECIAL;ESP;1000;467,25;721,709;538,736;538,736;721,709
FIJO;2;2700;ESPECIAL;ESP;1500;557,996;939,686;665,226;665,226;939,686
FIJO;2;2500;ESPECIAL;ESP;500;356,675;485,053;392,11;392,11;485,053
FIJO;2;2500;ESPECIAL;ESP;1000;428,694;642,658;487,754;487,754;642,658
FIJO;2;2500;ESPECIAL;ESP;1500;536,441;889,857;635,728;635,728;889,857
ABATIBLEMAG;5;2700;NEGRO MATE TEXT;L.NMT;600;559,953;698,749;598,945;598,945;698,749
ABATIBLEMAG;5;2700;NEGRO MATE TEXT;L.NMT;700;576,793;738,721;622,285;622,285;738,721
ABATIBLEMAG;5;2700;NEGRO MATE TEXT;L.NMT;800;593,633;778,694;645,623;645,623;778,694
ABATIBLEMAG;5;2700;NEGRO MATE TEXT;L.NMT;900;610,472;818,666;668,961;668,961;818,666
ABATIBLEMAG;5;2700;NEGRO MATE TEXT;L.NMT;1000;627,312;858,639;692,3;692,3;858,639
ABATIBLEMAG;5;2700;NEGRO MATE TEXT;L.NMT;1100;644,152;860,109;715,639;715,639;860,109
ABATIBLEMAG;5;2500;NEGRO MATE TEXT;L.NMT;600;529,879;646,587;562,093;562,093;646,587
ABATIBLEMAG;5;2500;NEGRO MATE TEXT;L.NMT;700;544,753;680,911;582,335;582,335;680,911
ABATIBLEMAG;5;2500;NEGRO MATE TEXT;L.NMT;800;559,626;715,236;602,577;602,577;715,236
ABATIBLEMAG;5;2500;NEGRO MATE TEXT;L.NMT;900;574,498;749,559;622,819;622,819;749,559
ABATIBLEMAG;5;2500;NEGRO MATE TEXT;L.NMT;1000;589,371;783,884;643,061;643,061;783,884
ABATIBLEMAG;5;2500;NEGRO MATE TEXT;L.NMT;1100;625,28;860,89;691,471;691,471;860,89
ABATIBLEMAG;5;2700;BLANCO MATE;L.BM03;600;559,953;698,749;598,945;598,945;698,749
ABATIBLEMAG;5;2700;BLANCO MATE;L.BM03;700;576,793;738,721;622,285;622,285;738,721
ABATIBLEMAG;5;2700;BLANCO MATE;L.BM03;800;593,633;778,694;645,623;645,623;778,694
ABATIBLEMAG;5;2700;BLANCO MATE;L.BM03;900;610,472;818,666;668,961;668,961;818,666
ABATIBLEMAG;5;2700;BLANCO MATE;L.BM03;1000;627,312;858,639;692,3;692,3;858,639
ABATIBLEMAG;5;2700;BLANCO MATE;L.BM03;1100;644,152;860,109;715,639;715,639;860,109
ABATIBLEMAG;5;2500;BLANCO MATE;L.BM03;600;529,879;646,587;562,093;562,093;646,587
ABATIBLEMAG;5;2500;BLANCO MATE;L.BM03;700;544,753;680,911;582,335;582,335;680,911
ABATIBLEMAG;5;2500;BLANCO MATE;L.BM03;800;559,626;715,236;602,577;602,577;715,236
ABATIBLEMAG;5;2500;BLANCO MATE;L.BM03;900;574,498;749,559;622,819;622,819;749,559
ABATIBLEMAG;5;2500;BLANCO MATE;L.BM03;1000;589,371;783,884;643,061;643,061;783,884
ABATIBLEMAG;5;2500;BLANCO MATE;L.BM03;1100;625,28;860,89;691,471;691,471;860,89
ABATIBLEMAG;5;2700;CORTEN;L.C;600;559,953;698,749;598,945;598,945;698,749
ABATIBLEMAG;5;2700;CORTEN;L.C;700;576,793;738,721;622,285;622,285;738,721
ABATIBLEMAG;5;2700;CORTEN;L.C;800;593,633;778,694;645,623;645,623;778,694
ABATIBLEMAG;5;2700;CORTEN;L.C;900;610,472;818,666;668,961;668,961;818,666
ABATIBLEMAG;5;2700;CORTEN;L.C;1000;627,312;858,639;692,3;692,3;858,639
ABATIBLEMAG;5;2700;CORTEN;L.C;1100;644,152;860,109;715,639;715,639;860,109
ABATIBLEMAG;5;2500;CORTEN;L.C;600;529,879;646,587;562,093;562,093;646,587
ABATIBLEMAG;5;2500;CORTEN;L.C;700;544,753;680,911;582,335;582,335;680,911
ABATIBLEMAG;5;2500;CORTEN;L.C;800;559,626;715,236;602,577;602,577;715,236
ABATIBLEMAG;5;2500;CORTEN;L.C;900;574,498;749,559;622,819;622,819;749,559
ABATIBLEMAG;5;2500;CORTEN;L.C;1000;589,371;783,884;643,061;643,061;783,884
ABATIBLEMAG;5;2500;CORTEN;L.C;1100;625,28;860,89;691,471;691,471;860,89
ABATIBLEMAG;5;2700;ROBLE;C.RB;600;662,798;801,594;701,791;701,791;801,594
