TXT_TIPO;TIPO;ALTOTABLA;TXT_COLOR;COLOR;ANCHOTABLA;TRANSPARENTE;MATE;BRONCE;GRIS;GRIS OSCURO;ESPECIAL
CORREDERA;01;2700;NEGRO MATE TEXT;L.NMT;600;473,346;611,971;512,291;512,291;611,971;673,168
CORREDERA;01;2700;NEGRO MATE TEXT;L.NMT;700;489,826;651,553;535,261;535,261;651,553;716,709
CORREDERA;01;2700;NEGRO MATE TEXT;L.NMT;800;506,305;691,136;558,23;558,23;691,136;760,25
CORREDERA;01;2700;NEGRO MATE TEXT;L.NMT;900;535,737;743,673;594,154;594,154;743,673;818,041
CORREDERA;01;2700;NEGRO MATE TEXT;L.NMT;1000;552,216;783,256;617,123;617,123;783,256;861,582
CORREDERA;01;2700;NEGRO MATE TEXT;L.NMT;1100;580,375;834,52;651,773;651,773;834,52;917,972
CORREDERA;01;2700;NEGRO MATE TEXT;L.NMT;1200;596,854;874,102;674,743;674,743;874,102;961,512
CORREDERA;01;2700;NEGRO MATE TEXT;L.NMT;1300;635,733;936,086;720,113;720,113;936,086;1029,695
CORREDERA;01;2700;NEGRO MATE TEXT;L.NMT;1400;652,213;975,67;743,083;743,083;975,67;1073,236
CORREDERA;01;2700;NEGRO MATE TEXT;L.NMT;1500;665,347;1011,907;762,708;762,708;1011,907;1113,099
CORREDERA;01;2500;NEGRO MATE TEXT;L.NMT;600;446,198;562,761;478,372;478,372;562,761;619,037
CORREDERA;01;2500;NEGRO MATE TEXT;L.NMT;700;460,712;596,702;498,249;498,249;596,702;656,372
CORREDERA;01;2500;NEGRO MATE TEXT;L.NMT;800;475,227;630,644;518,126;518,126;630,644;693,709
CORREDERA;01;2500;NEGRO MATE TEXT;L.NMT;900;502,694;677,539;550,956;550,956;677,539;745,293
CORREDERA;01;2500;NEGRO MATE TEXT;L.NMT;1000;517,209;711,481;570,833;570,833;711,481;782,629
CORREDERA;01;2500;NEGRO MATE TEXT;L.NMT;1100;564,413;799,732;630,522;630,522;799,732;879,705
CORREDERA;01;2500;NEGRO MATE TEXT;L.NMT;1200;579,99;836,701;652,109;652,109;836,701;920,372
CORREDERA;01;2500;NEGRO MATE TEXT;L.NMT;1300;617,967;896,071;696,096;696,096;896,071;985,678
CORREDERA;01;2500;NEGRO MATE TEXT;L.NMT;1400;633,544;933,04;717,682;717,682;933,04;1026,344
CORREDERA;01;2500;NEGRO MATE TEXT;L.NMT;1500;645,909;966,799;736,058;736,058;966,799;1063,478
CORREDERA;01;2700;BLANCO MATE;L.BM03;600;473,346;611,971;512,291;512,291;611,971;673,168
CORREDERA;01;2700;BLANCO MATE;L.BM03;700;489,826;651,553;535,261;535,261;651,553;716,709
CORREDERA;01;2700;BLANCO MATE;L.BM03;800;506,305;691,136;558,23;558,23;691,136;760,25
CORREDERA;01;2700;BLANCO MATE;L.BM03;900;535,737;743,673;594,154;594,154;743,673;818,041
CORREDERA;01;2700;BLANCO MATE;L.BM03;1000;552,216;783,256;617,123;617,123;783,256;861,582
CORREDERA;01;2700;BLANCO MATE;L.BM03;1100;580,375;834,52;651,773;651,773;834,52;917,972
